MatBrO,ImeOpsCir,ImeOpsLat,LEN_Moto,LEN_Trunk,LEN_Prim,LEN_Sec,LEN_Tert,Area,LEN_All,DENS_Moto,DENS_Trunk,DENS_Prim,DENS_Sec,DENS_Tert,DENS_All
"70220",САВСКИ ВЕНАЦ,SAVSKI VENAC,10.7257,0.0000,12.6510,19.5782,16.4818,14.0925,59.4367,0.76,0.00,0.90,1.39,1.17,4.22
"70475",ГОЛУБАЦ,GOLUBAC,0.0000,0.0000,44.5538,13.6247,28.9415,367.8904,87.1200,0.00,0.00,0.12,0.04,0.08,0.24
"80454",ТИТЕЛ,TITEL,0.0000,0.0000,0.0000,31.2669,23.3034,259.8377,54.5703,0.00,0.00,0.00,0.12,0.09,0.21
"70734",ЛОЗНИЦА,LOZNICA,0.0000,0.0000,61.5239,45.6147,76.2538,612.1356,183.3924,0.00,0.00,0.10,0.07,0.12,0.30
"70483",ГОРЊИ МИЛАНОВАЦ,GORNJI MILANOVAC,63.1596,0.0000,39.5489,85.6455,104.4333,836.5420,292.7873,0.08,0.00,0.05,0.10,0.12,0.35
"71242",ЧАЧАК,ČAČAK,11.5570,0.6348,56.9814,44.5800,85.5830,636.4504,199.3362,0.02,0.00,0.09,0.07,0.13,0.31
"70742",ЛУЧАНИ,LUČANI,0.0000,0.0000,1.5916,89.6939,12.7337,454.3863,104.0192,0.00,0.00,0.00,0.20,0.03,0.23
"70998",ПРОКУПЉЕ,PROKUPLJE,0.0000,0.0000,31.3776,69.2866,35.9703,759.1188,136.6345,0.00,0.00,0.04,0.09,0.05,0.18
"80179",ИНЂИЈА,INĐIJA,45.3073,0.0000,0.0000,58.6226,47.5487,386.1430,151.4786,0.12,0.00,0.00,0.15,0.12,0.39
"70203",ПАЛИЛУЛА (БЕОГРАД),PALILULA (БЕОГРАД),0.0000,24.6409,76.1050,37.3192,50.9947,451.2206,189.0598,0.00,0.05,0.17,0.08,0.11,0.42
"70459",ВРЊАЧКА БАЊА,VRNJAČKA BANJA,0.0000,0.0000,15.5034,38.0260,37.6884,239.1399,91.2178,0.00,0.00,0.06,0.16,0.16,0.38
"80438",СУБОТИЦА,SUBOTICA,82.2059,23.7760,40.6728,76.7121,92.5405,1007.3952,315.9073,0.08,0.02,0.04,0.08,0.09,0.31
"70718",ЛЕБАНЕ,LEBANE,0.0000,0.0000,24.1094,5.6785,48.2394,336.8301,78.0273,0.00,0.00,0.07,0.02,0.14,0.23
"70971",ПРИБОЈ,PRIBOJ,0.0000,0.0000,0.0000,78.5555,0.8789,553.0246,79.4344,0.00,0.00,0.00,0.14,0.00,0.14
"80411",СРЕМСКИ КАРЛОВЦИ,SREMSKI KARLOVCI,0.0000,0.0000,0.0000,8.9509,3.6844,50.4993,12.6353,0.00,0.00,0.00,0.18,0.07,0.25
"70211",РАКОВИЦА,RAKOVICA,0.0000,7.3846,4.1943,24.6531,31.0823,30.0421,67.3143,0.00,0.25,0.14,0.82,1.03,2.24
"70467",ГАЏИН ХАН,GADŽIN HAN,0.0000,0.0000,0.0000,51.1053,5.1838,324.7797,56.2891,0.00,0.00,0.00,0.16,0.02,0.17
"71226",ЦРНА ТРАВА,CRNA TRAVA,0.0000,0.0000,0.0000,46.3963,19.3830,312.1024,65.7793,0.00,0.00,0.00,0.15,0.06,0.21
"80152",ЗРЕЊАНИН,ZRENJANIN,0.0000,0.0000,129.7622,49.6828,49.2284,1325.7986,228.6734,0.00,0.00,0.10,0.04,0.04,0.17
"70980",ПРИЈЕПОЉЕ,PRIJEPOLJE,0.0000,0.0000,72.9829,0.0000,29.0104,826.7961,101.9933,0.00,0.00,0.09,0.00,0.04,0.12
"70726",ЛЕСКОВАЦ,LESKOVAC,105.9258,0.0000,18.8436,134.0933,106.0262,1025.1678,364.8889,0.10,0.00,0.02,0.13,0.10,0.36
"80420",СТАРА ПАЗОВА,STARA PAZOVA,39.6164,0.0000,0.0000,68.5298,24.4768,343.9162,132.6230,0.12,0.00,0.00,0.20,0.07,0.39
"70190",ОБРЕНОВАЦ,OBRENOVAC,39.4338,0.0000,28.6332,44.5241,29.4282,410.1251,142.0193,0.10,0.00,0.07,0.11,0.07,0.35
"70700",ЛАЈКОВАЦ,LAJKOVAC,35.3280,0.0000,18.6733,15.3036,33.2616,185.7674,102.5665,0.19,0.00,0.10,0.08,0.18,0.55
"71234",ЧАЈЕТИНА,ČAJETINA,0.0000,0.0000,46.7147,41.3281,49.9427,646.7726,137.9855,0.00,0.00,0.07,0.06,0.08,0.21
"70955",ПОЖЕГА,POŽEGA,0.0000,0.0000,52.1665,52.1982,6.3768,426.4258,110.7415,0.00,0.00,0.12,0.12,0.01,0.26
"70696",КУЧЕВО,KUČEVO,0.0000,0.0000,54.7996,19.5007,22.9231,721.1356,97.2234,0.00,0.00,0.08,0.03,0.03,0.13
"80136",ЖАБАЉ,ŽABALJ,0.0000,0.0000,20.7696,51.0775,0.0000,399.8305,71.8471,0.00,0.00,0.05,0.13,0.00,0.18
