MatBrO,MatBrNas,ImeNasCir,ImeNasLat,ImeOpsCir,ImeOpsLat,Decl/Grow,Traff_Name,DENS_Moto,DENS_Trunk,DENS_Prim,DENS_Sec,DENS_Tert,DENS_All,LEN_Moto,LEN_Trunk,LEN_Prim,LEN_Sec,LEN_Tert,LEN_All,Area,Traff_Key
"71161","742341",ДЕЈАНЦЕ,DEJANCE,ТРГОВИШТЕ,TRGOVIŠTE,Population decline,High road density with population decline,0.00,0.00,0.00,0.42,0.00,0.42,0.0000,0.0000,0.0000,1.7928,0.0000,1.7928,4.3123,"1"
"70432","712035",РУСЦЕ,RUSCE,ВРАЊЕ,VRANJE,Population decline,Low road density with population decline,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.2978,"3"
"70351","707651",БОРОВАЦ,BOROVAC,БУЈАНОВАЦ,BUJANOVAC,No data,No data,0.40,0.00,0.00,0.39,0.00,0.79,3.0666,0.0000,0.0000,3.0220,0.0000,6.0886,7.7118,"6"
"70335","706957",РИКАЧЕВО,RIKAČEVO,БОСИЛЕГРАД,BOSILEGRAD,Population decline,High road density with population decline,0.00,0.00,0.00,0.00,0.30,0.30,0.0000,0.0000,0.0000,0.0000,3.0644,3.0644,10.1829,"1"
"71161","742406",ЗЛАДОВЦЕ,ZLADOVCE,ТРГОВИШТЕ,TRGOVIŠTE,Population decline,High road density with population decline,0.00,0.00,0.00,0.33,0.00,0.33,0.0000,0.0000,0.0000,2.4688,0.0000,2.4688,7.5711,"1"
"71161","742457",МАРГАНЦЕ,MARGANCE,ТРГОВИШТЕ,TRGOVIŠTE,Population decline,Low road density with population decline,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6937,"3"
"70351","707635",БОГДАНОВАЦ,BOGDANOVAC,БУЈАНОВАЦ,BUJANOVAC,No data,No data,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.8728,"6"
"71161","742589",ЦРНОВЦЕ,CRNOVCE,ТРГОВИШТЕ,TRGOVIŠTE,Population decline,Low road density with population decline,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.8260,"3"
"70432","711276",БУШТРАЊЕ,BUŠTRANJE,ВРАЊЕ,VRANJE,Population decline,Low road density with population decline,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.9928,"3"
"70351","708046",НЕСАЛЦЕ,NESALCE,БУЈАНОВАЦ,BUJANOVAC,No data,No data,0.16,0.00,0.00,0.00,0.25,0.41,2.3103,0.0000,0.0000,0.0000,3.6736,5.9839,14.6621,"6"
"70335","706809",ЗЛИ ДОЛ,ZLI DOL,БОСИЛЕГРАД,BOSILEGRAD,Population decline,Low road density with population decline,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0386,"3"
"70351","707643",БОЖИЊЕВАЦ,BOŽINJEVAC,БУЈАНОВАЦ,BUJANOVAC,No data,No data,1.34,0.00,0.00,0.00,0.00,1.34,4.6124,0.0000,0.0000,0.0000,0.0000,4.6124,3.4436,"6"
"70351","707953",ЛЕВОСОЈЕ,LEVOSOJE,БУЈАНОВАЦ,BUJANOVAC,No data,No data,0.93,0.00,0.00,0.53,0.21,1.67,6.0223,0.0000,0.0000,3.4613,1.3349,10.8185,6.4857,"6"
"70432","711462",ДОЊЕ ПУНУШЕВЦЕ,DONJE PUNUŠEVCE,ВРАЊЕ,VRANJE,Population decline,Low road density with population decline,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6698,"3"
