MatBrO,MatBrNas,ImeNasCir,ImeNasLat,ImeOpsCir,ImeOpsLat,P_LA_15,P_LA_15-19,SOL_15,SOL_15-19
"71137","741159",ГРОЗНАТОВЦИ,GROZNATOVCI,СУРДУЛИЦА,SURDULICA,0.00,0.00,0.00,10.85
"70815","727717",ТУЛАРЕ,TULARE,МЕДВЕЂА,MEDVEĐA,25.73,2.14,9.64,35.33
"70815","727741",ЧОКОТИН,ČOKOTIN,МЕДВЕЂА,MEDVEĐA,0.00,0.00,0.00,11.59
"70726","725030",СУШЕВЉЕ,SUŠEVLJE,ЛЕСКОВАЦ,LESKOVAC,6.08,8.47,1.04,14.65
"71137","741388",СТРЕЗИМИРОВЦИ,STREZIMIROVCI,СУРДУЛИЦА,SURDULICA,18.04,5.45,8.04,19.62
"70661","720437",КРАСАВА,KRASAVA,КРУПАЊ,KRUPANJ,18.03,0.00,6.37,26.28
"70696","722685",БЛАГОЈЕВ КАМЕН,BLAGOJEV KAMEN,КУЧЕВО,KUČEVO,0.00,0.00,0.00,11.68
"71218","744590",ГУЊЕВАЦ,GUNJEVAC,УБ,UB,82.02,52.75,64.09,69.87
"70661","720488",МОЈКОВИЋ,MOJKOVIĆ,КРУПАЊ,KRUPANJ,37.08,22.31,23.33,52.70
"70912","731943",ОРЉЕВО,ORLJEVO,ПЕТРОВАЦ НА МЛАВИ,PETROVAC NA MLAVI,57.57,24.90,22.16,35.42
"70521","714933",СВИЊАРЕВО,SVINJAREVO,ЖАБАРИ,ŽABARI,54.32,30.49,15.06,23.03
"70637","718416",БРЕСНИЦА,BRESNICA,КОЦЕЉЕВА,KOCELJEVA,4.43,0.06,1.00,15.51
"70386","709425",МИЛОШЕВАЦ,MILOŠEVAC,ВЕЛИКА ПЛАНА,VELIKA PLANA,42.15,25.78,102.02,180.24
"70726","724394",ИГРИШТЕ,IGRIŠTE,ЛЕСКОВАЦ,LESKOVAC,0.00,17.55,0.00,21.68
"70718","723479",РАДЕВЦЕ,RADEVCE,ЛЕБАНЕ,LEBANE,0.00,0.00,0.00,18.79
"71226","744921",БАЈИНЦИ,BAJINCI,ЦРНА ТРАВА,CRNA TRAVA,0.33,0.00,0.00,11.00
"70726","724670",МРКОВИЦА,MRKOVICA,ЛЕСКОВАЦ,LESKOVAC,0.00,0.00,0.00,7.73
"70050","702013",ГОРЊИ СТРИЖЕВАЦ,GORNJI STRIŽEVAC,БАБУШНИЦА,BABUŠNICA,0.00,0.00,0.00,17.73
"70467","712507",ВЕЛИКИ КРЧИМИР,VELIKI KRČIMIR,ГАЏИН ХАН,GADŽIN HAN,9.99,1.48,10.98,57.80
"70998","735434",БУКОЛОРАМ,BUKOLORAM,ПРОКУПЉЕ,PROKUPLJE,0.00,0.00,0.00,5.38
"70718","723444",ПОРОШТИЦА,POROŠTICA,ЛЕБАНЕ,LEBANE,0.00,0.00,0.00,14.94
"70939","732397",КРУПАЦ,KRUPAC,ПИРОТ,PIROT,16.01,18.82,74.93,238.49
"70688","722332",ПАРАДА,PARADA,КУРШУМЛИЈА,KURŠUMLIJA,2.90,0.00,0.59,17.36
"70548","715280",ДОЊЕ ЦРНАТОВО,DONJE CRNATOVO,ЖИТОРАЂА,ŽITORAĐA,49.47,2.39,12.43,21.19
"70688","721816",ГОРЊА МИКУЉАНА,GORNJA MIKULJANA,КУРШУМЛИЈА,KURŠUMLIJA,61.66,34.84,18.65,31.96
"70904","731536",ПОТОЧАЦ,POTOČAC,ПАРАЋИН,PARAĆIN,54.59,34.26,48.85,88.21
"71242","745847",МРШИНЦИ,MRŠINCI,ЧАЧАК,ČAČAK,39.48,36.42,65.23,108.39
"71072","739219",БЛАТО,BLATO,СЈЕНИЦА,SJENICA,0.00,0.00,0.00,8.73
"71226","744930",БАНКОВЦИ,BANKOVCI,ЦРНА ТРАВА,CRNA TRAVA,11.39,0.00,1.42,12.95
"70726","723746",БРЗА,BRZA,ЛЕСКОВАЦ,LESKOVAC,41.60,18.43,22.23,48.35
"70815","727733",ЦРНИ ВРХ,CRNI VRH,МЕДВЕЂА,MEDVEĐA,5.61,1.37,1.57,16.66
"70726","725153",ЧУКЉЕНИК,ČUKLJENIK,ЛЕСКОВАЦ,LESKOVAC,29.57,10.21,9.84,25.20
"71226","744956",БРОД,BROD,ЦРНА ТРАВА,CRNA TRAVA,12.64,0.00,6.72,40.14
"70726","724998",СЛАТИНА,SLATINA,ЛЕСКОВАЦ,LESKOVAC,24.54,12.75,20.62,52.58
"70815","727598",ПУСТО ШИЛОВО,PUSTO ŠILOVO,МЕДВЕЂА,MEDVEĐA,3.43,0.06,0.27,21.04
"70726","723703",БОЋЕВИЦА,BOĆEVICA,ЛЕСКОВАЦ,LESKOVAC,9.32,19.09,0.44,10.70
"70726","723690",БОЈИШИНА,BOJIŠINA,ЛЕСКОВАЦ,LESKOVAC,32.48,29.63,12.13,29.96
"71226","745081",ОСТРОЗУБ,OSTROZUB,ЦРНА ТРАВА,CRNA TRAVA,0.00,0.00,0.00,12.80
"70726","725056",ТУЛОВО,TULOVO,ЛЕСКОВАЦ,LESKOVAC,35.10,13.72,14.50,43.73
"70777","726702",СОКОЛАЦ,SOKOLAC,ЉУБОВИЈА,LJUBOVIJA,15.52,0.00,1.64,9.60
"70840","728870",ШАРКАМЕН,ŠARKAMEN,НЕГОТИН,NEGOTIN,11.00,5.90,12.50,57.16
"70483","713651",ПРЊАВОР,PRNJAVOR,ГОРЊИ МИЛАНОВАЦ,GORNJI MILANOVAC,33.66,5.65,8.72,24.37
"70483","713627",ОЗРЕМ,OZREM,ГОРЊИ МИЛАНОВАЦ,GORNJI MILANOVAC,5.39,0.00,1.35,22.75
"70556","715786",МАЛА ЈАСИКОВА,MALA JASIKOVA,ЗАЈЕЧАР,ZAJEČAR,25.09,12.44,10.48,43.81
"70769","726435",СЛАВКОВИЦА,SLAVKOVICA,ЉИГ,LJIG,20.30,9.05,27.90,86.67
"71056","738514",ГЛОЖАНЕ,GLOŽANE,СВИЛАЈНАЦ,SVILAJNAC,28.97,16.72,54.84,165.72
"70769","726257",ДИЋИ,DIĆI,ЉИГ,LJIG,49.41,39.19,38.43,59.18
"70734","725650",СИМИНО БРДО,SIMINO BRDO,ЛОЗНИЦА,LOZNICA,69.03,44.23,24.95,38.21
"70734","725340",ДОЊА БАДАЊА,DONJA BADANJA,ЛОЗНИЦА,LOZNICA,68.60,36.03,50.66,76.68
"70831","728071",БЕРКОВАЦ,BERKOVAC,МИОНИЦА,MIONICA,25.45,17.26,76.62,123.01
"70769","726249",ГУКОШ,GUKOŠ,ЉИГ,LJIG,56.37,71.77,95.53,127.93
"70734","725706",ТРБОСИЉЕ,TRBOSILJE,ЛОЗНИЦА,LOZNICA,41.21,4.93,24.86,57.65
"70050","702196",ЛИНОВО,LINOVO,БАБУШНИЦА,BABUŠNICA,0.00,0.00,0.00,15.99
"71188","743909",ПИСКОПОВЦЕ,PISKOPOVCE,ТУТИН,TUTIN,12.88,13.28,1.49,18.24
"70874","730025",БАРЕ,BARE,НОВИ ПАЗАР,NOVI PAZAR,0.91,0.00,0.00,11.29
