MatBrO,MatBrNas,ImeNasCir,ImeNasLat,ImeOpsCir,ImeOpsLat,Mean_ELEV,P_0–14,P_15–39,P_40–64,P_65+,TDR
"71226","745090",ПАВЛИЧИНА,PAVLIČINA,ЦРНА ТРАВА,CRNA TRAVA,1210.75,0.00,0.00,30.00,70.00,233.33
"70084","703044",ВРАНДОЛ,VRANDOL,БЕЛА ПАЛАНКА,BELA PALANKA,490.95,9.34,23.53,35.99,31.14,68.02
"70262","705314",ДОЊА ЈОШАНИЦА,DONJA JOŠANICA,БЛАЦЕ,BLACE,427.83,8.42,13.68,31.58,46.32,120.93
"71285","729353",НИКОЛА ТЕСЛА,NIKOLA TESLA,НИШКА БАЊА,NIŠKA BANJA,209.13,14.19,34.27,36.47,15.07,41.37
"70670","720640",БОЉЕВАЦ,BOLJEVAC,КРУШЕВАЦ,KRUŠEVAC,867.12,16.55,23.02,32.37,28.06,80.52
"71137","741353",ПАЉА,PALJA,СУРДУЛИЦА,SURDULICA,1266.84,0.00,0.00,40.00,60.00,150.00
"70432","711349",ГОЛЕМО СЕЛО,GOLEMO SELO,ВРАЊЕ,VRANJE,673.20,12.98,27.86,34.61,24.55,60.08
"70416","710091",БАЛИНОВЦЕ,BALINOVCE,ВЛАДИЧИН ХАН,VLADIČIN HAN,500.28,9.09,27.27,38.84,24.79,51.25
"71218","744859",ТРЛИЋ,TRLIĆ,УБ,UB,135.07,15.28,30.90,36.72,17.10,47.89
"70734","725404",ЗАЈАЧА,ZAJAČA,ЛОЗНИЦА,LOZNICA,471.42,13.06,33.85,38.32,14.78,38.57
"70815","727504",МАЋЕДОНЦЕ,MAĆEDONCE,МЕДВЕЂА,MEDVEĐA,575.48,13.56,20.90,31.64,33.90,90.32
"70815","727393",ГУРГУТОВО,GURGUTOVO,МЕДВЕЂА,MEDVEĐA,425.91,15.38,32.69,28.85,23.08,62.50
"70726","723851",ВИЉЕ КОЛО,VILJE KOLO,ЛЕСКОВАЦ,LESKOVAC,762.09,0.00,0.00,0.00,100.00,0.00
"71021","736872",БАЉЕВАЦ,BALJEVAC,РАШКА,RAŠKA,540.14,12.21,30.57,40.35,16.87,41.01
"71021","737097",ЖЕРАЂЕ,ŽERAĐE,РАШКА,RAŠKA,670.42,8.33,30.00,38.33,23.33,46.34
"70670","721433",РИБАРСКА БАЊА,RIBARSKA BANJA,КРУШЕВАЦ,KRUŠEVAC,574.89,13.76,28.57,31.75,25.93,65.79
"80144","801348",БАНАТСКИ ДВОР,BANATSKI DVOR,ЖИТИШТЕ,ŽITIŠTE,76.99,15.16,30.41,37.72,16.71,46.78
"70025","700738",ВИТКОВАЦ,VITKOVAC,АЛЕКСИНАЦ,ALEKSINAC,213.95,8.97,24.68,41.35,25.00,51.46
"70718","723509",СВИЊАРИЦА,SVINJARICA,ЛЕБАНЕ,LEBANE,410.71,13.51,20.72,22.52,43.24,131.25
"70718","723185",БАЧЕВИНА,BAČEVINA,ЛЕБАНЕ,LEBANE,476.85,3.62,8.70,30.43,57.25,155.56
"70424","711136",ТЕГОШНИЦА,TEGOŠNICA,ВЛАСОТИНЦЕ,VLASOTINCE,453.96,0.00,0.00,33.33,66.67,200.00
"70939","732290",ДОЈКИНЦИ,DOJKINCI,ПИРОТ,PIROT,1380.15,1.14,2.27,20.45,76.14,340.00
"71021","736961",БОРОВИЋЕ,BOROVIĆE,РАШКА,RAŠKA,1079.63,2.25,8.99,24.72,64.04,196.67
"70025","701041",КОПРИВНИЦА,KOPRIVNICA,АЛЕКСИНАЦ,ALEKSINAC,325.20,12.26,23.11,40.09,24.53,58.21
"70564","716090",ДАЈИЋИ,DAJIĆI,ИВАЊИЦА,IVANJICA,1317.21,10.53,17.54,32.89,39.04,98.26
"70670","721182",МАЈДЕВО,MAJDEVO,КРУШЕВАЦ,KRUŠEVAC,299.75,12.87,29.75,34.18,23.21,56.44
